timestamp ba_x ba_y ba_z bg_x bg_y bg_z
382.708000 1.82218265 0.12718976 0.24551691 -0.00023210 0.00062294 0.00031450
383.524000 1.76184161 0.05329987 0.21819645 -0.00031447 0.00053213 0.00018689
384.628000 1.69133078 0.09055825 0.16861660 -0.00062584 0.00061287 0.00008936
385.328000 1.64651013 0.19275503 0.13443664 -0.00042705 0.00067923 0.00028032
385.744000 1.63314287 0.15628683 0.13063481 -0.00037347 0.00062606 0.00034379
386.904000 1.63334917 0.15061038 0.13126108 -0.00040724 0.00058921 0.00040282
387.940000 1.62764059 0.06951002 0.12882546 -0.00041356 0.00055770 0.00051251
388.652000 1.86446099 0.11760629 0.19695219 -0.00031056 0.00059906 0.00054445
388.932000 1.76400203 0.09082996 0.17694928 -0.00030689 0.00067781 0.00055785
389.876000 1.97733456 0.17742470 0.21922293 -0.00040512 0.00075952 0.00053222
390.332000 1.78493062 0.13924100 0.18372364 -0.00040419 0.00076200 0.00055924
391.460000 1.78148761 0.06671587 0.18888642 -0.00040012 0.00071820 0.00055765
391.604000 1.81810201 0.18395466 0.19717993 -0.00043335 0.00071588 0.00055771
391.836000 1.77603972 0.05409462 0.18384871 -0.00047350 0.00070879 0.00053021
393.580000 1.65283170 0.03820874 0.15344194 -0.00061753 0.00076892 0.00056628
394.292000 1.90605305 0.10367831 0.19755586 -0.00065173 0.00075925 0.00055838
395.088000 2.03748279 0.05660298 0.21501416 -0.00064100 0.00082819 0.00059374
395.668000 1.77844363 0.28535511 0.17446089 -0.00054776 0.00080658 0.00058369
396.048000 1.69440241 0.25748290 0.15827777 -0.00052836 0.00083598 0.00066213
396.872000 1.49995493 0.04297859 0.11337009 -0.00051997 0.00084163 0.00048932
397.672000 1.86304647 0.24030247 0.18193307 -0.00047468 0.00087595 0.00034765
398.108000 1.38525006 -0.08570086 0.09626525 -0.00047513 0.00084029 0.00034887
398.340000 1.24508724 -0.07132071 0.08700262 -0.00048109 0.00082039 0.00030116
398.744000 1.21846268 -0.04463312 0.08562697 -0.00048739 0.00079226 0.00030077
398.980000 1.23601447 -0.05487676 0.08983241 -0.00047982 0.00076528 0.00031007
399.900000 1.24200700 -0.06107934 0.09168397 -0.00029134 0.00082168 0.00028193
400.968000 1.28547551 -0.07895057 0.09393532 -0.00035928 0.00098351 0.00000436
401.224000 1.26814602 -0.08291384 0.09234016 -0.00039492 0.00093702 -0.00001292
